;id_visita;nombre_especie;abundancia_absoluta;abundancia_relativa
180;17;Genista sp;63.0;58.33
152;14;Poaceae sp3;63.0;39.37
123;11;Q. ilex;81.0;35.68
2;1;Genista sp;63.0;35.39
27;3;Poaceae sp1;63.0;35.19
34;4;C. monogyna;38.0;29.68
10;2;Q. faginea;31.0;27.92
192;18;M. longiflorum;38.0;26.95
189;18;C. monogyna;38.0;26.95
188;18;A. granatense;38.0;26.95
156;15;C. ladanifer;63.0;25.4
97;9;C. fontanesii;38.0;25.16
100;9;Thymus sp;38.0;25.16
90;8;Poaceae sp1;38.0;24.35
91;8;F. elegans;38.0;24.35
131;12;Q. ilex;41.0;23.97
126;12;Q. faginea;41.0;23.97
77;7;F. elegans;38.0;22.48
76;7;Poaceae sp1;38.0;22.48
130;12;F. elegans;38.0;22.22
7;1;Festuca sp;38.0;21.34
39;4;Q. ilex;27.0;21.09
67;6;F. elegans;38.0;20.32
178;16;F. elegans;38.0;19.58
170;16;C. ladanifer;38.0;19.58
114;10;Poaceae sp2;38.0;18.53
107;10;Ephedra sp;38.0;18.53
112;10;A. decorticans;38.0;18.53
115;10;C. clusii;38.0;18.53
134;13;Q. faginea;20.0;18.18
31;4;Q. faginea;22.0;17.18
120;11;Cytisus sp1;38.0;16.74
118;11;C. albidus;38.0;16.74
124;11;Poaceae sp3;38.0;16.74
135;13;C. albidus;18.0;16.36
138;13;Thymus sp;18.0;16.36
139;13;Dactylis sp;18.0;16.36
141;13;R. peregrina;18.0;16.36
15;2;Festuca sp;18.0;16.21
12;2;C. monogyna;18.0;16.21
14;2;Poaceae sp1;18.0;16.21
186;17;Q. ilex;17.0;15.74
68;6;Q. ilex;29.0;15.5
42;5;C. monogyna;38.0;15.38
157;15;R. canina;38.0;15.32
164;15;F. elegans;38.0;15.32
168;16;Pinus sp;28.0;14.43
33;4;R. canina;18.0;14.06
57;6;Q. faginea;26.0;13.9
69;7;Q. faginea;23.0;13.6
16;2;Q. ilex;15.0;13.51
30;3;Q. ilex;24.0;13.4
40;5;Q. faginea;32.0;12.95
8;1;Q. ilex;23.0;12.92
190;18;Carduus sp;18.0;12.76
104;9;B. vulgaris;18.0;11.92
106;9;Poaceae sp2;18.0;11.92
18;3;Q. faginea;21.0;11.73
84;8;Cytisus sp1;18.0;11.53
146;14;D. gnidium;18.0;11.25
149;14;R. officinalis;18.0;11.25
147;14;Salvia sp;18.0;11.25
145;14;C. monogyna;18.0;11.25
55;5;Q. ilex;27.0;10.93
