;id_visita;cod_especie;N_plantulas
0;1;Quercus faginea;62.0
1;1;Quercus ilex;98.0
2;2;Quercus faginea;56.0
3;2;Quercus ilex;64.0
4;2;Pinus sp;1.0
5;3;Quercus faginea;17.0
6;3;Quercus ilex;38.0
7;4;Quercus faginea;12.0
8;4;Quercus ilex;76.0
9;5;Quercus faginea;47.0
10;5;Quercus ilex;74.0
11;6;Quercus faginea;44.0
12;6;Quercus ilex;100.0
13;6;326;1.0
14;7;Quercus faginea;88.0
15;7;Quercus ilex;92.0
16;8;Quercus faginea;121.0
17;8;Quercus ilex;63.0
18;8;Pinus sp;1.0
19;9;Quercus ilex;16.0
20;10;Quercus faginea;32.0
21;10;Quercus ilex;25.0
22;11;Quercus faginea;15.0
23;11;Quercus ilex;99.0
24;12;Quercus faginea;41.0
25;12;Quercus ilex;85.0
26;13;Quercus faginea;10.0
27;13;Quercus ilex;57.0
28;14;Quercus ilex;105.0
29;15;Quercus faginea;14.0
30;15;Quercus ilex;20.0
31;15;Pinus sp;6.0
32;16;Quercus faginea;26.0
33;16;Quercus ilex;44.0
34;16;Pinus sp;5.0
35;17;Quercus faginea;9.0
36;17;Quercus ilex;18.0
37;17;Fraxinus sp;2.0
38;18;Quercus ilex;29.0
