;id_visita;estado_conservacion_local;indice_shannon;grt_movimiento;grt_pedregosidad;grt_regueros;grt_pedestales;grt_red_drenaje;grt_carcavas
0;1;22.0;1.74;4.50;1.00;1.50;1.50;1.50;1.50
1;2;28.0;1.83;4.50;1.00;5.00;1.50;1.50;5.00
2;3;28.0;2.07;7.00;4.00;5.00;8.00;1.50;0.00
3;4;22.0;1.86;4.50;1.00;1.50;1.50;1.50;0.00
4;5;28.0;2.52;4.50;4.00;5.00;8.00;1.50;0.00
5;6;19.0;2.23;4.50;4.00;5.00;1.50;1.50;0.00
6;7;28.0;2.09;4.50;4.00;1.50;1.50;1.50;1.50
7;8;22.0;2.09;4.50;7.00;5.00;8.00;1.50;1.50
8;9;8.0;1.74
9;10;19.0;1.98;7.00;7.00;5.00;8.00;1.50;5.00
10;11;13.0;1.70;4.50;1.00;1.50;1.50;1.50;0.00
11;12;22.0;1.86;4.50;4.00;5.00;1.50;1.50;0.00
12;13;19.0;1.95;4.50;4.00;5.00;1.50;1.50;0.00
13;14;8.0;1.93;1.50;4.00;5.00;1.50;1.50;0.00
14;15;22.0;2.23;4.50;7.00;5.00;1.50;1.50;0.00
15;16;22.0;2.14;4.50;7.00;5.00;1.50;5.00;0.00
16;17;;;4.50;10.00;5.00;8.00;5.00;5.00
17;18;;;1.50;1.00;1.50;1.50;1.50;0.00
